name,subnetip,brdcastip,mask
Trunk_GW_ISDN,10.111.47.90,10.111.47.90,32
Trunk_FRN_AMI2_2,10.4.16.5,10.4.16.5,32
Trunk_RO_MIO1,10.108.16.5,10.108.16.5,32
Trunk_EG_CAI1,10.67.48.4,10.67.48.4,32
Trunk_PL_GOE1,10.179.0.0,10.179.0.0,32
Trunk_FRS_ISS1_2,10.7.16.5,10.7.16.5,32
Trunk_FRW_LAS1_2,10.26.16.5,10.26.16.5,32
Trunk_IT_PIA1_PIA1-NR79001,10.237.16.4,10.237.16.4,32
Trunk_PL_SKA1,10.205.16.10,10.205.16.10,32
Trunk2_DE_BIE2,10.222.80.11,10.222.80.11,32
Trunk_FRP_PON1,10.102.50.4,10.102.50.4,32
Trunk_FRW_ANG1,10.24.16.4,10.24.16.4,32
Trunk_FRN_RMS1,10.41.16.4,10.41.16.4,32
Trunk_UK_SUN1,10.52.0.0,10.52.0.0,32
Trunk_FRP_LVR1_2,10.211.16.5,10.211.16.5,32
Trunk_EMEA_XMedius1,10.111.47.89,10.111.47.89,32
Trunk_FRS_MAZ1,10.9.16.4,10.9.16.4,32
Trunk2_ES_MAS1,10.252.30.52,10.252.30.52,32
Trunk_DE_BER1,10.188.16.10,10.188.16.10,32
Trunk_DE_RUS1,10.195.16.10,10.195.16.10,32
Trunk_FRN_LEH1,10.232.16.4,10.232.16.4,32
Trunk_FRP_CRE1,10.46.48.4,10.46.48.4,32
Trunk_CZ_HUM1,10.78.50.10,10.78.50.10,32
Trunk_PL_WAR1,10.254.16.10,10.254.16.10,32
